backend,operation,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
scalar,encode,standard,padded,48,10,349525,69753465,229.379067
scalar,encode,standard,padded,48,11,349525,69745750,229.404440
scalar,encode,standard,padded,48,12,349525,69767547,229.332769
scalar,encode,standard,padded,48,13,349525,69756245,229.369926
scalar,encode,standard,padded,48,14,349525,69761480,229.352714
scalar,decode,standard,padded,48,0,349525,110539882,144.744001
scalar,decode,standard,padded,48,1,349525,110612024,144.649597
scalar,decode,standard,padded,48,2,349525,110721345,144.506777
scalar,decode,standard,padded,48,3,349525,110528371,144.759075
scalar,decode,standard,padded,48,4,349525,110541288,144.742160
scalar,decode,standard,padded,48,5,349525,110546937,144.734763
scalar,decode,standard,padded,48,6,349525,110541487,144.741899
scalar,decode,standard,padded,48,7,349525,110560113,144.717514
scalar,decode,standard,padded,48,8,349525,110552877,144.726987
scalar,decode,standard,padded,48,9,349525,110544621,144.737795
scalar,decode,standard,padded,48,10,349525,110550320,144.730334
scalar,decode,standard,padded,48,11,349525,110721986,144.505941
scalar,decode,standard,padded,48,12,349525,110563163,144.713522
scalar,decode,standard,padded,48,13,349525,110542852,144.740112
scalar,decode,standard,padded,48,14,349525,110526230,144.761879
neon,encode,standard,padded,48,0,349525,12129097,1319.140637
neon,encode,standard,padded,48,1,349525,12105416,1321.721182
neon,encode,standard,padded,48,2,349525,12109291,1321.298228
neon,encode,standard,padded,48,3,349525,12124869,1319.600628
neon,encode,standard,padded,48,4,349525,12118330,1320.312678
neon,encode,standard,padded,48,5,349525,12104650,1321.804822
neon,encode,standard,padded,48,6,349525,12143522,1317.573661
neon,encode,standard,padded,48,7,349525,12183322,1313.269463
neon,encode,standard,padded,48,8,349525,12188654,1312.694965
neon,encode,standard,padded,48,9,349525,12162726,1315.493315
neon,encode,standard,padded,48,10,349525,12173583,1314.320093
neon,encode,standard,padded,48,11,349525,12250432,1306.075144
neon,encode,standard,padded,48,12,349525,12162699,1315.496235
neon,encode,standard,padded,48,13,349525,12142528,1317.681519
neon,encode,standard,padded,48,14,349525,12168602,1314.858087
neon,decode,standard,padded,48,0,349525,52715123,303.517925
neon,decode,standard,padded,48,1,349525,52756705,303.278697
neon,decode,standard,padded,48,2,349525,52720678,303.485944
neon,decode,standard,padded,48,3,349525,52658565,303.843919
neon,decode,standard,padded,48,4,349525,52633108,303.990879
neon,decode,standard,padded,48,5,349525,52628903,304.015167
neon,decode,standard,padded,48,6,349525,52742502,303.360367
neon,decode,standard,padded,48,7,349525,52722246,303.476918
neon,decode,standard,padded,48,8,349525,52738483,303.383485
neon,decode,standard,padded,48,9,349525,52844487,302.774909
neon,decode,standard,padded,48,10,349525,52688686,303.670218
neon,decode,standard,padded,48,11,349525,52609244,304.128771
neon,decode,standard,padded,48,12,349525,52584810,304.270088
neon,decode,standard,padded,48,13,349525,52680083,303.719809
neon,decode,standard,padded,48,14,349525,52708761,303.554560
scalar,encode,standard,padded,64,0,262144,26910627,594.560654
scalar,encode,standard,padded,64,1,262144,26939711,593.918769
scalar,encode,standard,padded,64,2,262144,26929545,594.142976
scalar,encode,standard,padded,64,3,262144,26963598,593.392618
scalar,encode,standard,padded,64,4,262144,26934146,594.041482
scalar,encode,standard,padded,64,5,262144,26886297,595.098685
scalar,encode,standard,padded,64,6,262144,26916001,594.441946
scalar,encode,standard,padded,64,7,262144,26869329,595.474491
scalar,encode,standard,padded,64,8,262144,26854110,595.811963
scalar,encode,standard,padded,64,9,262144,26892888,594.952837
scalar,encode,standard,padded,64,10,262144,26862025,595.636405
scalar,encode,standard,padded,64,11,262144,26859328,595.696214
scalar,encode,standard,padded,64,12,262144,26857501,595.736737
scalar,encode,standard,padded,64,13,262144,26877947,595.283561
scalar,encode,standard,padded,64,14,262144,26868342,595.496365
scalar,decode,standard,padded,64,0,262144,111214231,143.866481
scalar,decode,standard,padded,64,1,262144,111126423,143.980159
scalar,decode,standard,padded,64,2,262144,111943281,142.929525
scalar,decode,standard,padded,64,3,262144,112754727,141.900924
scalar,decode,standard,padded,64,4,262144,112861484,141.766699
scalar,decode,standard,padded,64,5,262144,112879575,141.743978
scalar,decode,standard,padded,64,6,262144,112898646,141.720034
scalar,decode,standard,padded,64,7,262144,112830985,141.805019
scalar,decode,standard,padded,64,8,262144,112853413,141.776838
scalar,decode,standard,padded,64,9,262144,112889809,141.731128
scalar,decode,standard,padded,64,10,262144,112897478,141.721501
scalar,decode,standard,padded,64,11,262144,113011321,141.578736
scalar,decode,standard,padded,64,12,262144,112877948,141.746021
scalar,decode,standard,padded,64,13,262144,112878410,141.745441
scalar,decode,standard,padded,64,14,262144,112929515,141.681296
neon,encode,standard,padded,64,0,262144,15836792,1010.305623
neon,encode,standard,padded,64,1,262144,15820760,1011.329418
neon,encode,standard,padded,64,2,262144,15886762,1007.127821
neon,encode,standard,padded,64,3,262144,15816593,1011.595860
neon,encode,standard,padded,64,4,262144,15857125,1009.010145
neon,encode,standard,padded,64,5,262144,15854499,1009.177269
neon,encode,standard,padded,64,6,262144,15845048,1009.779207
neon,encode,standard,padded,64,7,262144,15869309,1008.235456
neon,encode,standard,padded,64,8,262144,15802172,1012.519039
neon,encode,standard,padded,64,9,262144,15839254,1010.148584
neon,encode,standard,padded,64,10,262144,15867063,1008.378173
neon,encode,standard,padded,64,11,262144,15903735,1006.052981
neon,encode,standard,padded,64,12,262144,15859646,1008.849756
neon,encode,standard,padded,64,13,262144,15846621,1009.678972
neon,encode,standard,padded,64,14,262144,15791623,1013.195414
neon,decode,standard,padded,64,0,262144,62452635,256.194154
neon,decode,standard,padded,64,1,262144,62485234,256.060496
neon,decode,standard,padded,64,2,262144,62516176,255.933760
neon,decode,standard,padded,64,3,262144,62534342,255.859412
neon,decode,standard,padded,64,4,262144,62657451,255.356701
neon,decode,standard,padded,64,5,262144,62714072,255.126154
neon,decode,standard,padded,64,6,262144,62598231,255.598277
neon,decode,standard,padded,64,7,262144,62606609,255.564073
neon,decode,standard,padded,64,8,262144,62625268,255.487929
neon,decode,standard,padded,64,9,262144,62628835,255.473377
neon,decode,standard,padded,64,10,262144,62595157,255.610829
neon,decode,standard,padded,64,11,262144,62574976,255.693266
neon,decode,standard,padded,64,12,262144,62629368,255.471203
neon,decode,standard,padded,64,13,262144,62723348,255.088424
neon,decode,standard,padded,64,14,262144,62776989,254.870459
scalar,encode,standard,padded,96,0,174762,39629568,403.737405
scalar,encode,standard,padded,96,1,174762,39634352,403.688673
scalar,encode,standard,padded,96,2,174762,39619294,403.842102
scalar,encode,standard,padded,96,3,174762,39612777,403.908541
scalar,encode,standard,padded,96,4,174762,39614895,403.886946
scalar,encode,standard,padded,96,5,174762,39620196,403.832908
scalar,encode,standard,padded,96,6,174762,39629460,403.738506
scalar,encode,standard,padded,96,7,174762,39627276,403.760757
scalar,encode,standard,padded,96,8,174762,39626381,403.769877
scalar,encode,standard,padded,96,9,174762,39693426,403.087881
scalar,encode,standard,padded,96,10,174762,39600648,404.032251
scalar,encode,standard,padded,96,11,174762,39601883,404.019651
scalar,encode,standard,padded,96,12,174762,39614449,403.891493
scalar,encode,standard,padded,96,13,174762,39613179,403.904442
scalar,encode,standard,padded,96,14,174762,39611014,403.926518
scalar,decode,standard,padded,96,0,174762,112790621,141.855225
scalar,decode,standard,padded,96,1,174762,112491093,142.232941
scalar,decode,standard,padded,96,2,174762,112294591,142.481831
scalar,decode,standard,padded,96,3,174762,112149525,142.666132
scalar,decode,standard,padded,96,4,174762,112147099,142.669218
scalar,decode,standard,padded,96,5,174762,112125385,142.696848
scalar,decode,standard,padded,96,6,174762,112152981,142.661736
scalar,decode,standard,padded,96,7,174762,112171000,142.638819
scalar,decode,standard,padded,96,8,174762,111501111,143.495781
scalar,decode,standard,padded,96,9,174762,111419445,143.600957
scalar,decode,standard,padded,96,10,174762,111497404,143.500552
scalar,decode,standard,padded,96,11,174762,111493140,143.506040
scalar,decode,standard,padded,96,12,174762,111442462,143.571298
scalar,decode,standard,padded,96,13,174762,111458249,143.550963
scalar,decode,standard,padded,96,14,174762,111414762,143.606993
neon,encode,standard,padded,96,0,174762,9644528,1658.965474
neon,encode,standard,padded,96,1,174762,9660192,1656.275462
neon,encode,standard,padded,96,2,174762,9655185,1657.134375
neon,encode,standard,padded,96,3,174762,9639936,1659.755725
neon,encode,standard,padded,96,4,174762,9640617,1659.638482
neon,encode,standard,padded,96,5,174762,9707554,1648.194691
neon,encode,standard,padded,96,6,174762,9609362,1665.036551
neon,encode,standard,padded,96,7,174762,9767257,1638.119993
neon,encode,standard,padded,96,8,174762,9657240,1656.781748
neon,encode,standard,padded,96,9,174762,9682494,1652.460509
neon,encode,standard,padded,96,10,174762,9612288,1664.529711
neon,encode,standard,padded,96,11,174762,9656788,1656.859296
neon,encode,standard,padded,96,12,174762,9744510,1641.943922
neon,encode,standard,padded,96,13,174762,9637675,1660.145104
neon,encode,standard,padded,96,14,174762,9699159,1649.621268
neon,decode,standard,padded,96,0,174762,50779909,315.084042
neon,decode,standard,padded,96,1,174762,50735940,315.357101
neon,decode,standard,padded,96,2,174762,50652031,315.879515
neon,decode,standard,padded,96,3,174762,50699617,315.583034
neon,decode,standard,padded,96,4,174762,50752189,315.256135
neon,decode,standard,padded,96,5,174762,50729047,315.399952
neon,decode,standard,padded,96,6,174762,50746842,315.289353
neon,decode,standard,padded,96,7,174762,50785813,315.047412
neon,decode,standard,padded,96,8,174762,50732073,315.381139
neon,decode,standard,padded,96,9,174762,50730366,315.391751
neon,decode,standard,padded,96,10,174762,50717249,315.473321
neon,decode,standard,padded,96,11,174762,50765982,315.170481
neon,decode,standard,padded,96,12,174762,50738636,315.340345
neon,decode,standard,padded,96,13,174762,50734454,315.366338
neon,decode,standard,padded,96,14,174762,50783038,315.064628
scalar,encode,standard,padded,192,0,87381,24721928,647.196245
scalar,encode,standard,padded,192,1,87381,24721633,647.203968
scalar,encode,standard,padded,192,2,87381,24679172,648.317495
scalar,encode,standard,padded,192,3,87381,24677204,648.369198
scalar,encode,standard,padded,192,4,87381,24706685,647.595538
scalar,encode,standard,padded,192,5,87381,24680074,648.293800
scalar,encode,standard,padded,192,6,87381,24720477,647.234233
scalar,encode,standard,padded,192,7,87381,24765411,646.059900
scalar,encode,standard,padded,192,8,87381,24653065,649.004047
scalar,encode,standard,padded,192,9,87381,24701397,647.734173
scalar,encode,standard,padded,192,10,87381,24698324,647.814765
scalar,encode,standard,padded,192,11,87381,24726202,647.084375
scalar,encode,standard,padded,192,12,87381,24690933,648.008683
scalar,encode,standard,padded,192,13,87381,24694303,647.920250
scalar,encode,standard,padded,192,14,87381,24699433,647.785679
scalar,decode,standard,padded,192,0,87381,109923101,145.555746
scalar,decode,standard,padded,192,1,87381,109882267,145.609837
scalar,decode,standard,padded,192,2,87381,109890557,145.598852
scalar,decode,standard,padded,192,3,87381,109904325,145.580613
scalar,decode,standard,padded,192,4,87381,109885897,145.605027
scalar,decode,standard,padded,192,5,87381,109876335,145.617698
scalar,decode,standard,padded,192,6,87381,109914274,145.567435
scalar,decode,standard,padded,192,7,87381,109964542,145.500892
scalar,decode,standard,padded,192,8,87381,109907713,145.576125
scalar,decode,standard,padded,192,9,87381,109917101,145.563691
scalar,decode,standard,padded,192,10,87381,109898001,145.588990
scalar,decode,standard,padded,192,11,87381,109914567,145.567047
scalar,decode,standard,padded,192,12,87381,109891989,145.596955
scalar,decode,standard,padded,192,13,87381,109869327,145.626986
scalar,decode,standard,padded,192,14,87381,109908518,145.575059
neon,encode,standard,padded,192,0,87381,8172269,1957.833126
neon,encode,standard,padded,192,1,87381,8179278,1956.155417
neon,encode,standard,padded,192,2,87381,8176422,1956.838696
neon,encode,standard,padded,192,3,87381,8134905,1966.825546
neon,encode,standard,padded,192,4,87381,8178389,1956.368053
neon,encode,standard,padded,192,5,87381,8141572,1965.214944
neon,encode,standard,padded,192,6,87381,8115193,1971.603012
neon,encode,standard,padded,192,7,87381,8113608,1971.988167
neon,encode,standard,padded,192,8,87381,8142455,1965.001829
neon,encode,standard,padded,192,9,87381,8135852,1966.596610
neon,encode,standard,padded,192,10,87381,8149045,1963.412764
neon,encode,standard,padded,192,11,87381,8147995,1963.665781
neon,encode,standard,padded,192,12,87381,8138951,1965.847806
neon,encode,standard,padded,192,13,87381,8162813,1960.101127
neon,encode,standard,padded,192,14,87381,8176732,1956.764507
neon,decode,standard,padded,192,0,87381,54912669,291.370630
