backend,operation,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
scalar,encode,standard,padded,48,8,349525,30282417,528.358907
scalar,encode,standard,padded,48,9,349525,30214500,529.546567
scalar,encode,standard,padded,48,10,349525,30165292,530.410405
scalar,encode,standard,padded,48,11,349525,30059416,532.278629
scalar,encode,standard,padded,48,12,349525,30076542,531.975542
scalar,encode,standard,padded,48,13,349525,30135375,530.936972
scalar,encode,standard,padded,48,14,349525,30167667,530.368647
scalar,decode,standard,padded,48,0,349525,67644292,236.531188
scalar,decode,standard,padded,48,1,349525,66304542,241.310539
scalar,decode,standard,padded,48,2,349525,66350750,241.142485
scalar,decode,standard,padded,48,3,349525,66302542,241.317818
scalar,decode,standard,padded,48,4,349525,66432250,240.846648
scalar,decode,standard,padded,48,5,349525,66582125,240.304507
scalar,decode,standard,padded,48,6,349525,66377125,241.046667
scalar,decode,standard,padded,48,7,349525,66364583,241.092221
scalar,decode,standard,padded,48,8,349525,66307209,241.300833
scalar,decode,standard,padded,48,9,349525,66221625,241.612687
scalar,decode,standard,padded,48,10,349525,66236833,241.557212
scalar,decode,standard,padded,48,11,349525,66256792,241.484446
scalar,decode,standard,padded,48,12,349525,66241042,241.541864
scalar,decode,standard,padded,48,13,349525,68106875,234.924664
scalar,decode,standard,padded,48,14,349525,68727083,232.804653
neon,encode,standard,padded,48,0,349525,6006083,2663.963309
neon,encode,standard,padded,48,1,349525,6150291,2601.500440
neon,encode,standard,padded,48,2,349525,6232792,2567.065408
neon,encode,standard,padded,48,3,349525,6012875,2660.954159
neon,encode,standard,padded,48,4,349525,6062458,2639.191025
neon,encode,standard,padded,48,5,349525,6168542,2593.803324
neon,encode,standard,padded,48,6,349525,5924958,2700.438508
neon,encode,standard,padded,48,7,349525,6094167,2625.458859
neon,encode,standard,padded,48,8,349525,6099459,2623.180964
neon,encode,standard,padded,48,9,349525,6178625,2589.570453
neon,encode,standard,padded,48,10,349525,5880458,2720.873908
neon,encode,standard,padded,48,11,349525,6126375,2611.656117
neon,encode,standard,padded,48,12,349525,6286334,2545.201184
neon,encode,standard,padded,48,13,349525,6175750,2590.775977
neon,encode,standard,padded,48,14,349525,6215792,2574.086253
neon,decode,standard,padded,48,0,349525,32537208,491.744244
neon,decode,standard,padded,48,1,349525,33748375,474.096449
neon,decode,standard,padded,48,2,349525,32884500,486.550951
neon,decode,standard,padded,48,3,349525,33324417,480.127972
neon,decode,standard,padded,48,4,349525,32984625,485.074023
neon,decode,standard,padded,48,5,349525,33460500,478.175303
neon,decode,standard,padded,48,6,349525,33665250,475.267070
neon,decode,standard,padded,48,7,349525,33781500,473.631566
neon,decode,standard,padded,48,8,349525,33751625,474.050797
neon,decode,standard,padded,48,9,349525,33506958,477.512305
neon,decode,standard,padded,48,10,349525,33013334,484.652194
neon,decode,standard,padded,48,11,349525,33326416,480.099172
neon,decode,standard,padded,48,12,349525,32924708,485.956770
neon,decode,standard,padded,48,13,349525,32681375,489.575018
neon,decode,standard,padded,48,14,349525,32861583,486.890262
scalar,encode,standard,padded,64,0,262144,13597875,1176.654440
scalar,encode,standard,padded,64,1,262144,13484750,1186.525520
scalar,encode,standard,padded,64,2,262144,13586292,1177.657598
scalar,encode,standard,padded,64,3,262144,13789042,1160.341668
scalar,encode,standard,padded,64,4,262144,13475292,1187.358315
scalar,encode,standard,padded,64,5,262144,13704083,1167.535252
scalar,encode,standard,padded,64,6,262144,13590542,1177.289324
scalar,encode,standard,padded,64,7,262144,14042583,1139.391521
scalar,encode,standard,padded,64,8,262144,13517083,1183.687338
scalar,encode,standard,padded,64,9,262144,13732583,1165.112201
scalar,encode,standard,padded,64,10,262144,13760250,1162.769572
