schema_version,backend,operation,alphabet,padding,input_len,target_arch,target_os,median_throughput_mib_s,scalar_median_throughput_mib_s,ratio_to_scalar,status
1,auto,decode,standard,padded,32,x86_64,linux,110.842573,286.739554,0.386562,non-admissible-below-scalar
1,avx2,decode,standard,padded,32,x86_64,linux,109.803543,286.739554,0.382938,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,32,x86_64,linux,83.084910,286.739554,0.289757,non-admissible-below-scalar
1,auto,decode,standard,padded,47,x86_64,linux,127.880588,291.578445,0.438580,non-admissible-below-scalar
1,avx2,decode,standard,padded,47,x86_64,linux,100.883043,291.578445,0.345989,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,47,x86_64,linux,69.773185,291.578445,0.239295,non-admissible-below-scalar
1,auto,decode,standard,padded,48,x86_64,linux,128.559006,295.729568,0.434718,non-admissible-below-scalar
1,avx2,decode,standard,padded,48,x86_64,linux,103.673110,295.729568,0.350567,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,48,x86_64,linux,132.700517,295.729568,0.448723,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,48,x86_64,linux,71.853166,295.729568,0.242969,non-admissible-below-scalar
1,auto,decode,standard,padded,63,x86_64,linux,109.431511,306.924446,0.356542,non-admissible-below-scalar
1,avx2,decode,standard,padded,63,x86_64,linux,94.119719,306.924446,0.306654,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,63,x86_64,linux,114.826871,306.924446,0.374121,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,63,x86_64,linux,75.122441,306.924446,0.244759,non-admissible-below-scalar
1,auto,decode,standard,padded,64,x86_64,linux,111.740931,300.059866,0.372395,non-admissible-below-scalar
1,avx2,decode,standard,padded,64,x86_64,linux,96.226946,300.059866,0.320692,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,64,x86_64,linux,114.717278,300.059866,0.382315,non-admissible-below-scalar
1,ssse3-sse4.1,decode,standard,padded,64,x86_64,linux,77.829346,300.059866,0.259379,non-admissible-below-scalar
1,auto,decode,standard,padded,65536,x86_64,linux,144.036304,301.613392,0.477553,non-admissible-below-scalar
1,avx2,decode,standard,padded,65536,x86_64,linux,112.556109,301.613392,0.373180,non-admissible-below-scalar
1,avx512-vbmi,decode,standard,padded,65536,x86_64,linux,145.982171,301.613392,0.484004,non-admissible-below-scalar
