schema_version,campaign_id,run_id,sample_index,engine,operation,alphabet,padding,input_len,encoded_len,iterations,elapsed_ns,throughput_mib_s,backend,active_encode_backend,active_decode_backend,target_arch,target_os,allocation_count
1,commit-5-correction-amd-9950x3d,run-1,0,base64-ng,encode,standard,padded,1,4,4194304,38297777,104.444704,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,1,base64-ng,encode,standard,padded,1,4,4194304,38418826,104.115623,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,2,base64-ng,encode,standard,padded,1,4,4194304,38347942,104.308075,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,3,base64-ng,encode,standard,padded,1,4,4194304,38003463,105.253566,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,4,base64-ng,encode,standard,padded,1,4,4194304,37913434,105.503500,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,0,base64-ng,decode,standard,padded,1,4,4194304,59261393,67.497570,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,1,base64-ng,decode,standard,padded,1,4,4194304,58854988,67.963653,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,2,base64-ng,decode,standard,padded,1,4,4194304,59197893,67.569972,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,3,base64-ng,decode,standard,padded,1,4,4194304,59048131,67.741348,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,4,base64-ng,decode,standard,padded,1,4,4194304,58820863,68.003083,avx512-vbmi,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,0,base64-0.23.0,encode,standard,padded,1,4,4194304,29195392,137.007922,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,1,base64-0.23.0,encode,standard,padded,1,4,4194304,32839061,121.806162,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,2,base64-0.23.0,encode,standard,padded,1,4,4194304,29374760,136.171325,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,3,base64-0.23.0,encode,standard,padded,1,4,4194304,30891735,129.484472,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,4,base64-0.23.0,encode,standard,padded,1,4,4194304,37123477,107.748528,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,0,base64-0.23.0,decode,standard,padded,1,4,4194304,54511000,73.379685,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
1,commit-5-correction-amd-9950x3d,run-1,1,base64-0.23.0,decode,standard,padded,1,4,4194304,54219631,73.774017,external,avx512-vbmi,avx512-vbmi,x86_64,linux,0
