backend,alphabet,padding,input_len,sample_index,iterations,elapsed_ns,throughput_mib_s
avx512-vbmi,standard,padded,64,5,262144,36681321,436.189307
avx512-vbmi,standard,padded,64,6,262144,36625476,436.854391
avx512-vbmi,standard,padded,64,7,262144,36485814,438.526601
avx512-vbmi,standard,padded,64,8,262144,36479792,438.598992
avx512-vbmi,standard,padded,64,9,262144,36363253,440.004639
avx512-vbmi,standard,padded,64,10,262144,36299533,440.777020
avx512-vbmi,standard,padded,64,11,262144,37512356,426.526129
avx512-vbmi,standard,padded,64,12,262144,37538355,426.230718
avx512-vbmi,standard,padded,64,13,262144,37519850,426.440937
avx512-vbmi,standard,padded,64,14,262144,37551360,426.083103
scalar,standard,padded,96,0,174762,49569169,322.780052
scalar,standard,padded,96,1,174762,49560063,322.839359
scalar,standard,padded,96,2,174762,49524625,323.070371
scalar,standard,padded,96,3,174762,49494559,323.266623
scalar,standard,padded,96,4,174762,49540476,322.967001
scalar,standard,padded,96,5,174762,49592443,322.628570
scalar,standard,padded,96,6,174762,49605227,322.545424
scalar,standard,padded,96,7,174762,49530276,323.033511
scalar,standard,padded,96,8,174762,49519135,323.106188
scalar,standard,padded,96,9,174762,49594116,322.617686
scalar,standard,padded,96,10,174762,50130677,319.164630
scalar,standard,padded,96,11,174762,50432755,317.252924
scalar,standard,padded,96,12,174762,49422844,323.735699
scalar,standard,padded,96,13,174762,49438473,323.633357
scalar,standard,padded,96,14,174762,49333717,324.320565
ssse3-sse4.1,standard,padded,96,0,174762,21988788,727.640785
ssse3-sse4.1,standard,padded,96,1,174762,21986062,727.731004
ssse3-sse4.1,standard,padded,96,2,174762,22040245,725.941974
ssse3-sse4.1,standard,padded,96,3,174762,21990781,727.574840
ssse3-sse4.1,standard,padded,96,4,174762,21951767,728.867930
ssse3-sse4.1,standard,padded,96,5,174762,21992385,727.521775
ssse3-sse4.1,standard,padded,96,6,174762,21962458,728.513127
ssse3-sse4.1,standard,padded,96,7,174762,21993135,727.496965
ssse3-sse4.1,standard,padded,96,8,174762,22085099,724.467613
ssse3-sse4.1,standard,padded,96,9,174762,22081211,724.595176
ssse3-sse4.1,standard,padded,96,10,174762,22061254,725.250657
ssse3-sse4.1,standard,padded,96,11,174762,22083817,724.509670
ssse3-sse4.1,standard,padded,96,12,174762,22245040,719.258719
ssse3-sse4.1,standard,padded,96,13,174762,22114905,723.491191
ssse3-sse4.1,standard,padded,96,14,174762,22076192,724.759912
avx2,standard,padded,96,0,174762,20905439,765.348145
avx2,standard,padded,96,1,174762,20199089,792.111910
avx2,standard,padded,96,2,174762,20205131,791.875042
avx2,standard,padded,96,3,174762,20193959,792.313135
avx2,standard,padded,96,4,174762,20188970,792.508928
avx2,standard,padded,96,5,174762,20190492,792.449187
avx2,standard,padded,96,6,174762,20179873,792.866187
avx2,standard,padded,96,7,174762,20189140,792.502254
avx2,standard,padded,96,8,174762,20210780,791.653710
avx2,standard,padded,96,9,174762,20219797,791.300673
avx2,standard,padded,96,10,174762,20240477,790.492189
avx2,standard,padded,96,11,174762,20245877,790.281348
avx2,standard,padded,96,12,174762,20208176,791.755721
avx2,standard,padded,96,13,174762,20229006,790.940443
avx2,standard,padded,96,14,174762,20221612,791.229649
avx512-vbmi,standard,padded,96,0,174762,20828804,768.164075
avx512-vbmi,standard,padded,96,1,174762,20820348,768.476058
avx512-vbmi,standard,padded,96,2,174762,20740247,771.443993
avx512-vbmi,standard,padded,96,3,174762,20802315,769.142231
avx512-vbmi,standard,padded,96,4,174762,20818464,768.545603
avx512-vbmi,standard,padded,96,5,174762,20799529,769.245254
avx512-vbmi,standard,padded,96,6,174762,20836990,767.862295
avx512-vbmi,standard,padded,96,7,174762,20809699,768.869313
avx512-vbmi,standard,padded,96,8,174762,20792676,769.498787
avx512-vbmi,standard,padded,96,9,174762,20794519,769.430587
avx512-vbmi,standard,padded,96,10,174762,20797425,769.323076
avx512-vbmi,standard,padded,96,11,174762,20778279,770.031963
avx512-vbmi,standard,padded,96,12,174762,21318967,750.502544
avx512-vbmi,standard,padded,96,13,174762,21990270,727.591747
avx512-vbmi,standard,padded,96,14,174762,21982987,727.832799
scalar,standard,padded,192,0,87381,50453204,317.124339
scalar,standard,padded,192,1,87381,50621049,316.072845
scalar,standard,padded,192,2,87381,50369877,317.648958
scalar,standard,padded,192,3,87381,50396697,317.479913
scalar,standard,padded,192,4,87381,50429389,317.274099
scalar,standard,padded,192,5,87381,50318981,317.970250
scalar,standard,padded,192,6,87381,50225024,318.565084
scalar,standard,padded,192,7,87381,50178086,318.863078
scalar,standard,padded,192,8,87381,50085091,319.455124
scalar,standard,padded,192,9,87381,50194045,318.761697
scalar,standard,padded,192,10,87381,50244250,318.443184
scalar,standard,padded,192,11,87381,50315794,317.990390
scalar,standard,padded,192,12,87381,50160753,318.973261
scalar,standard,padded,192,13,87381,50150574,319.038003
scalar,standard,padded,192,14,87381,50123313,319.211521
ssse3-sse4.1,standard,padded,192,0,87381,20409095,783.961218
ssse3-sse4.1,standard,padded,192,1,87381,20453107,782.274251
ssse3-sse4.1,standard,padded,192,2,87381,20402312,784.221855
ssse3-sse4.1,standard,padded,192,3,87381,20386332,784.836574
ssse3-sse4.1,standard,padded,192,4,87381,20375622,785.249106
ssse3-sse4.1,standard,padded,192,5,87381,20369500,785.485111
ssse3-sse4.1,standard,padded,192,6,87381,20381292,785.030653
ssse3-sse4.1,standard,padded,192,7,87381,20363749,785.706943
ssse3-sse4.1,standard,padded,192,8,87381,20380079,785.077377
ssse3-sse4.1,standard,padded,192,9,87381,20402071,784.231119
ssse3-sse4.1,standard,padded,192,10,87381,20391631,784.632625
ssse3-sse4.1,standard,padded,192,11,87381,20365302,785.647027
ssse3-sse4.1,standard,padded,192,12,87381,20374289,785.300482
ssse3-sse4.1,standard,padded,192,13,87381,20348369,786.300807
ssse3-sse4.1,standard,padded,192,14,87381,20349733,786.248103
avx2,standard,padded,192,0,87381,18640856,858.326408
avx2,standard,padded,192,1,87381,18646376,858.072312
avx2,standard,padded,192,2,87381,18647859,858.004072
avx2,standard,padded,192,3,87381,18667285,857.111196
avx2,standard,padded,192,4,87381,18690109,856.064508
